third_turn_driver_name,result_count,museum_driver_name,driver_slug,driver_id,match_status,match_score,notes
1JZ,1,A.J. Zvorak,aj-zvorak,24102,new_or_unmatched,0.333,
21CZ,1,Aaron Karcz,aaron-karcz,24129,new_or_unmatched,0.267,
Aaron Rake,3,Aaron Rake,aaron-rake,24142,matched_exact,1.000,
Benji LaCrosse,10,A.J. Roschen,aj-roschen,24095,new_or_unmatched,0.500,
Brad Lautenbach,6,Aaron Dunbar,aaron-dunbar,24116,new_or_unmatched,0.444,
Brad McGuire,1,A.J. Miller,aj-miller,24093,new_or_unmatched,0.476,
Brad Rohloff,3,Aaron Hoff,aaron-hoff,24125,new_or_unmatched,0.636,
Brad Theys,1,A.J. Hedges,aj-hedges,24084,new_or_unmatched,0.526,
Brian Crapser,1,Aaron Rake,aaron-rake,24142,new_or_unmatched,0.522,
Brian Drexler,1,Aaron Reimers,aaron-reimers,24143,new_or_unmatched,0.538,
Brian Joski,3,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.500,
Brian Mullen,11,Aaron Muhle,aaron-muhle,24137,new_or_unmatched,0.609,
Bruce Belland,1,Aaron Blacklance,aaron-blacklance,24110,new_or_unmatched,0.483,
Cameron Kuxhouse,1,Aaron Muhle,aaron-muhle,24137,new_or_unmatched,0.593,
Chad Bartel,2,A. Arnold,a-arnold,24076,new_or_unmatched,0.526,
Chris Carlson,2,Aaron Carlson,aaron-carlson,24113,new_or_unmatched,0.692,
Chris Piquette,1,Aaron Peterson,aaron-peterson,24140,new_or_unmatched,0.429,
Cody Hudson,3,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.500,
Cory Cochart,1,Aaron Melchert,aaron-melchert,24133,new_or_unmatched,0.462,
Craig Priewe,12,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.500,
Dave Zeitler,3,A.J. Miller,aj-miller,24093,new_or_unmatched,0.571,
David Schoenberger,2,Aaron Homberg,aaron-homberg,24127,new_or_unmatched,0.516,
Dean Maurer,3,Aaron Marthaler,aaron-marthaler,24131,new_or_unmatched,0.615,
Don Scheffler,4,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.593,
"Eddie Lemay, Jr.",12,A.E. Maynor,ae-maynor,24079,new_or_unmatched,0.500,
Eddie Muenster,1,A.J. Viehauser,aj-viehauser,24100,new_or_unmatched,0.462,
Eric Arneson,2,Aaron Benson,aaron-benson,24105,new_or_unmatched,0.583,
Eric Mahlik,6,Aaron Mashlan,aaron-mashlan,24132,new_or_unmatched,0.500,
Eric Scribner,1,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.519,
Eric Van Iten,7,Aaron Cain,aaron-cain,24112,new_or_unmatched,0.435,
"Eugene Gregorich, Jr.",1,Aaron Gretz,aaron-gretz,24122,new_or_unmatched,0.370,
Jamie Schmidt,6,Aaron Melchert,aaron-melchert,24133,new_or_unmatched,0.444,
Jared Siefert,7,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.519,
Jarrod Anvelink,1,Aaron Cain,aaron-cain,24112,new_or_unmatched,0.560,
Jason Briese,2,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.667,
Jason Czarapata,1,Aaron Carlson,aaron-carlson,24113,new_or_unmatched,0.500,
Jason Hyerdall,2,Aaron Doll,aaron-doll,24115,new_or_unmatched,0.583,
Jason Zdroik,5,Aaron Hendricks,aaron-hendricks,24124,new_or_unmatched,0.593,
Jay Matthias,1,A.J. Smith IL,aj-smith-il,24098,new_or_unmatched,0.522,
"Jeff Bodendorfer, Jr.",1,A.J. Dancer,aj-dancer,24081,new_or_unmatched,0.480,
Jeff Steenbergen,3,A.J. Lindberg,aj-lindberg,24091,new_or_unmatched,0.519,
Jeremy Christians,10,Aaron Bitzan,aaron-bitzan,24109,new_or_unmatched,0.414,
Jeremy Jacobs,1,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.385,
Jerry Wilinski,3,Aaron Wilke,aaron-wilke,24159,new_or_unmatched,0.480,
Jim Zdroik,3,A.J. Zvorak,aj-zvorak,24102,new_or_unmatched,0.526,
Joe McGrath,11,A.J. Smith,aj-smith,24097,new_or_unmatched,0.526,
Joel Crowbridge,5,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.444,
John Schultz,1,Aaron Schuck,aaron-schuck,24148,new_or_unmatched,0.583,
Johnny Whitman,4,Aaron Bitzan,aaron-bitzan,24109,new_or_unmatched,0.538,
Josh Chambers,1,A.J. Roschen,aj-roschen,24095,new_or_unmatched,0.522,
Josh Long,1,A.J. Olson,aj-olson,24094,new_or_unmatched,0.588,
Justin Ritchie,2,A.J. Roschen,aj-roschen,24095,new_or_unmatched,0.500,
Kurt Moeller,2,A.J. Miller,aj-miller,24093,new_or_unmatched,0.571,
Kyle Frederick,5,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.462,
Kyle Kudick,5,Aaron Hendricks,aaron-hendricks,24124,new_or_unmatched,0.385,
Kyle Lentz,2,Aaron Bennett,aaron-bennett,24104,new_or_unmatched,0.348,
Lance Arneson,14,Aaron Benson,aaron-benson,24105,new_or_unmatched,0.640,
Marcus Yarie,7,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.500,
Mark Joski,1,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.522,
Mark Weisnicht,6,A.J. Wiste,aj-wiste,24101,new_or_unmatched,0.545,
Matt Oreskovich,1,A. Matterperlick,a-matterperlick,24077,new_or_unmatched,0.533,
Matt Rechek,9,A. Matterperlick,a-matterperlick,24077,new_or_unmatched,0.615,
Mike Joski,1,A.J. Smith IL,aj-smith-il,24098,new_or_unmatched,0.381,
Mike Klenz,1,A.J. Miller,aj-miller,24093,new_or_unmatched,0.421,
Mike Mueller,1,A.J. Miller,aj-miller,24093,new_or_unmatched,0.571,
Mike Mullen,8,A.J. Miller,aj-miller,24093,new_or_unmatched,0.500,
Mike Sullivan,1,A.J. Kellar,aj-kellar,24089,new_or_unmatched,0.455,
Mike Wedelstadt,2,A.J. Hedges,aj-hedges,24084,new_or_unmatched,0.417,
Mitch McGrath,14,A.J. Smith IL,aj-smith-il,24098,new_or_unmatched,0.417,
Mitch Webber,1,A.J. Smith IL,aj-smith-il,24098,new_or_unmatched,0.435,
Nick Firari,2,... Nowicki,#NAME?,24065,new_or_unmatched,0.556,
Nick Simons,1,... Nowicki,#NAME?,24065,new_or_unmatched,0.556,
Noah Schepp,1,Aaron Schipper,aaron-schipper,24147,new_or_unmatched,0.560,
Pat Zdroik,8,A.J. Zvorak,aj-zvorak,24102,new_or_unmatched,0.526,
Paul Parker,1,A.J. Dancer,aj-dancer,24081,new_or_unmatched,0.500,
Phil Rehberg,1,A.J. Kreager,aj-kreager,24090,new_or_unmatched,0.455,
R.M. Van Pay,2,A.J. Kania,aj-kania,24088,new_or_unmatched,0.444,
"Randy Markwardt, Jr.",4,Aaron Marthaler,aaron-marthaler,24131,new_or_unmatched,0.533,
Russ Reinwald,8,Aaron Friede,aaron-friede,24120,new_or_unmatched,0.400,
Scott Kuxhouse,2,A.J. House,aj-house,24087,new_or_unmatched,0.545,
Sean Jerovetz,2,Aaron Gretz,aaron-gretz,24122,new_or_unmatched,0.583,
Shawn Kilgore,3,Aaron Bilek,aaron-bilek,24108,new_or_unmatched,0.500,
T.J. Smith,1,A.J. Smith,aj-smith,24097,possible_match,0.875,
Tim Czarneski,2,Aaron Genske,aaron-genske,24121,new_or_unmatched,0.480,
Tim Jorgenson,2,Aaron Johnson,aaron-johnson,24128,new_or_unmatched,0.538,
Tim Lemirande,10,A.J. Lindberg,aj-lindberg,24091,new_or_unmatched,0.500,
Todd Dart,6,Aaron Dalton,aaron-dalton,24114,new_or_unmatched,0.476,
Tom Schaal,8,Aaron Schuck,aaron-schuck,24148,new_or_unmatched,0.455,
Tony Wedelstadt,5,Aaron Bennett,aaron-bennett,24104,new_or_unmatched,0.500,
Travis Spaulding,1,A.J. Springborn,aj-springborn,24099,new_or_unmatched,0.483,
Tyler Hackett,2,Aaron Rake,aaron-rake,24142,new_or_unmatched,0.435,
